model_name,strata,variable,year,pred,pred_lci,pred_uci,obs,obs_cv,obs_lci,obs_uci
M22_2022,AI,biomass_pred,2013,17012.75502571923,12640.216698958491,22897.8537677272,NA,NA,NA,NA
M22_2022,AI,biomass_pred,2014,17055.902249230272,12623.595892056826,23044.448192320888,16400.5,0.37717967910151834,8024.466467644733,33519.536947974535
M22_2022,AI,biomass_pred,2015,17142.32950873963,12534.533683707774,23443.98829676131,NA,NA,NA,NA
M22_2022,AI,biomass_pred,2016,17229.19472052364,12554.253504972356,23644.98618736258,15024.8,0.3158263979209803,8209.95866549906,27496.437465471357
M22_2022,AI,biomass_pred,2017,17531.238710688256,12496.181140250017,24595.060465407532,NA,NA,NA,NA
M22_2022,AI,biomass_pred,2018,17838.577816119367,12472.501194540497,25513.315536184193,26319.6,0.5550330927635502,9531.783155140347,72674.89544035896
M22_2022,AI,biomass_pred,2019,17927.6706818457,12236.59858150319,26265.5813979662,NA,NA,NA,NA
M22_2022,AI,biomass_pred,2020,18017.208512344736,12063.512796003339,26909.22686175247,NA,NA,NA,NA
M22_2022,AI,biomass_pred,2021,18107.193529945365,11942.649030975186,27453.746374067465,NA,NA,NA,NA
M22_2022,AI,biomass_pred,2022,18197.627968075685,11867.238703297522,27904.86244895988,19505.1,0.3558160093603705,9914.186888523293,38374.193495425105
M22_2022,EBS Slope,biomass_pred,1991,4492.448467882965,2587.7246129602804,7799.165775022824,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,1992,4492.448429147219,2637.9393441599364,7650.703922828217,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,1993,4492.448390411481,2691.0661132655086,7499.664330439104,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,1994,4492.448351675745,2747.4816109961203,7345.669616750208,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,1995,4492.448312940008,2807.647235754775,7188.257693994809,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,1996,4492.448274204271,2872.1380897405124,7026.852771631301,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,1997,4492.448235468527,2941.68607776228,6860.722257528116,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,1998,4561.864127495382,2859.5044531700837,7277.696068861972,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,1999,4632.352611973677,2710.5439895900663,7916.746898066275,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2000,4622.520418420698,2759.6481783912527,7742.905485572665,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2001,4612.709093751882,2816.9234270098214,7553.306199085094,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2002,4560.781320628527,2989.786419941178,6957.261600981963,4850.77144963602,0.43608685588830914,2141.1490928270814,10989.418595571036
M22_2022,EBS Slope,biomass_pred,2003,4500.786942545585,3152.004038905149,6426.73132780158,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2004,4263.809086318854,2971.641028691072,6117.854663146526,2569.51416393506,0.21796743888668632,1684.4786480428381,3919.552822075891
M22_2022,EBS Slope,biomass_pred,2005,4285.5504430239425,3036.5291197076403,6048.334093193546,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2006,4326.396711794964,3145.4562006570522,5950.713446246796,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2007,4367.63229290631,3247.4064488002696,5874.291422031754,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2008,4378.673715027367,3270.3182437551295,5862.665977319837,7308.11904301717,0.31462000636982407,4002.160641436959,13344.942577750739
M22_2022,EBS Slope,biomass_pred,2009,4262.423504709328,2749.5520427312485,6607.714220768573,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2010,4376.284201607782,3123.5694385279066,6131.403123942672,4365.46315635241,0.28156000430996403,2540.5177686926704,7501.3325253289095
M22_2022,EBS Slope,biomass_pred,2011,4493.977276466243,3334.7444528287,6056.185727894029,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2012,4575.465709043667,3381.8503426711263,6190.364544073592,9283.96500697346,0.5686754269674819,3289.7340993610246,26200.29572221329
M22_2022,EBS Slope,biomass_pred,2013,4595.066184357089,3376.203958140676,6253.956662692304,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2014,4758.688662856474,3351.118591731131,6757.480277145506,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2015,4928.137459061895,3096.5072358702982,7843.204283223032,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2016,5077.663980586812,2778.9478949480513,9277.85351665641,6258.04044160625,0.2871975476802488,3604.1503975036794,10866.103200328324
M22_2022,EBS Slope,biomass_pred,2017,5157.432574293781,2597.430497946407,10240.547640992318,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2018,5216.166185187294,2470.3193289553055,11014.11843909174,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2019,5275.568663196159,2353.2561590416085,11826.85727312918,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2020,5259.528367610589,2421.4521750551176,11423.987198537523,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2021,5243.536842328061,2490.229396780917,11041.02242644541,NA,NA,NA,NA
M22_2022,EBS Slope,biomass_pred,2022,5243.536842328061,2455.9515258322394,11195.122675531911,NA,NA,NA,NA
