model_name,strata,variable,year,pred,pred_lci,pred_uci,obs,obs_cv,obs_lci,obs_uci
M22_2024,SBS,biomass_pred,2020,55.39110128978063,10.215037839339725,300.358564534995,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2021,76.56520575224344,16.750350608501904,349.97659863357757,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2022,105.83343886258719,37.33270955753912,300.02421239256296,127.165045,0.5974894164574852,43.0593055273406,375.55061494394647
M22_2024,SBS,biomass_pred,2023,105.83343886258719,17.923881727630416,624.9046357081572,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2024,105.83343886258719,10.772348245925816,1039.7655669660678,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,1991,24688.00027964543,10949.772708955928,55663.01456734885,21835.916091,0.6916090445406614,6411.763769214491,74364.44146968416
MpoolPE_2024,AI,biomass_pred,1992,25378.509270804683,11888.51019910356,54175.73119101875,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,1993,26088.33139633974,13812.377862520378,49274.71879349925,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,1994,26818.00683337249,18230.791567076274,39450.041862891776,26284.528105,0.2198934937318627,17168.474720707305,40240.98989232005
MpoolPE_2024,AI,biomass_pred,1995,28618.014250084412,16188.087505160123,50592.18634424682,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,1996,30538.83701002265,17038.81664704834,54735.05497732369,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,1997,32588.58416152959,20918.98821209584,50768.02983420658,36058.309388,0.2694318869211614,21462.020878025804,60581.51202582971
MpoolPE_2024,AI,biomass_pred,1998,30633.930171624037,16635.16695300822,56412.880039670126,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,1999,28796.51577093525,15208.972320234425,54523.03436981604,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,2000,27069.30896231657,15644.592648673563,46837.10877952956,37151.720484,0.4460834730356795,16119.93006800729,85623.84136272433
MpoolPE_2024,AI,biomass_pred,2001,21830.343231952735,12689.627847500577,37555.38707297325,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,2002,17605.32144681988,12429.027138292015,24937.37762394561,15342.16287,0.20097239426534763,10387.454592121294,22660.215690198005
MpoolPE_2024,AI,biomass_pred,2003,19266.165454319707,11391.893954386305,32583.267786679306,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,2004,21083.689521628705,12820.556073042195,34672.59620502211,32611.630254,0.3743294415319643,16037.24308690969,66315.53952634774
MpoolPE_2024,AI,biomass_pred,2005,17227.11430388352,9999.925362147142,29677.568230903904,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,2006,14075.974081036558,9246.184030158516,21428.628900718104,11780.530781,0.25220960641438217,7240.770510545803,19166.593566245687
MpoolPE_2024,AI,biomass_pred,2007,14820.723266545581,8080.039059643415,27184.749544171038,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,2008,15604.876570456867,8115.908649678965,30004.301833637088,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,2009,16430.518834992832,9056.45468216807,29808.789273643964,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,2010,17299.84520980742,11740.935015843717,25490.699325005142,18223.873086,0.23364491436240117,11598.412326414416,28634.052739984378
MpoolPE_2024,AI,biomass_pred,2011,16714.232005860915,9988.377088635407,27969.06334900015,NA,NA,NA,NA
