survey_definition_id,year,area_id,species_code,length_mm,sex,population_count,akfin_load_date
52,1994,99904,30576,370,female,191197,2024-10-24T16:20:42Z
52,1994,99904,30576,380,male,339708,2024-10-24T16:20:42Z
52,1994,99904,30576,380,female,281554,2024-10-24T16:20:42Z
52,1994,99904,30576,390,male,351808,2024-10-24T16:20:42Z
52,1994,99904,30576,390,female,386203,2024-10-24T16:20:42Z
52,1994,99904,30576,400,male,359123,2024-10-24T16:20:42Z
52,1994,99904,30576,400,female,497077,2024-10-24T16:20:42Z
52,1994,99904,30576,410,male,471550,2024-10-24T16:20:42Z
52,1994,99904,30576,410,female,327601,2024-10-24T16:20:42Z
52,1994,99904,30576,420,male,452153,2024-10-24T16:20:42Z
52,1994,99904,30576,420,female,516347,2024-10-24T16:20:42Z
52,1994,99904,30576,430,male,384608,2024-10-24T16:20:42Z
52,1994,99904,30576,430,female,595936,2024-10-24T16:20:42Z
52,1994,99904,30576,440,male,427154,2024-10-24T16:20:42Z
52,1994,99904,30576,440,female,506473,2024-10-24T16:20:42Z
52,1994,99904,30576,450,male,482299,2024-10-24T16:20:42Z
52,1994,99904,30576,450,female,513294,2024-10-24T16:20:42Z
52,1994,99904,30576,460,male,419207,2024-10-24T16:20:42Z
52,1994,99904,30576,460,female,399217,2024-10-24T16:20:42Z
52,1994,99904,30576,470,male,323246,2024-10-24T16:20:42Z
52,1994,99904,30576,470,female,455060,2024-10-24T16:20:42Z
52,1994,99904,30576,480,male,400173,2024-10-24T16:20:42Z
52,1994,99904,30576,480,female,398657,2024-10-24T16:20:42Z
52,1994,99904,30576,490,male,246493,2024-10-24T16:20:42Z
52,1994,99904,30576,490,female,289108,2024-10-24T16:20:42Z
52,1994,99904,30576,500,male,231839,2024-10-24T16:20:42Z
52,1994,99904,30576,500,female,270571,2024-10-24T16:20:42Z
52,1994,99904,30576,510,male,241628,2024-10-24T16:20:42Z
52,1994,99904,30576,510,female,291922,2024-10-24T16:20:42Z
52,1994,99904,30576,520,male,153728,2024-10-24T16:20:42Z
52,1994,99904,30576,520,female,228869,2024-10-24T16:20:42Z
52,1994,99904,30576,530,male,118897,2024-10-24T16:20:42Z
52,1994,99904,30576,530,female,169989,2024-10-24T16:20:42Z
52,1994,99904,30576,540,male,79537,2024-10-24T16:20:42Z
52,1994,99904,30576,540,female,131315,2024-10-24T16:20:42Z
52,1994,99904,30576,550,male,141212,2024-10-24T16:20:42Z
52,1994,99904,30576,550,female,107278,2024-10-24T16:20:42Z
52,1994,99904,30576,560,male,88117,2024-10-24T16:20:42Z
52,1994,99904,30576,560,female,121879,2024-10-24T16:20:42Z
52,1994,99904,30576,570,male,37512,2024-10-24T16:20:42Z
52,1994,99904,30576,570,female,69034,2024-10-24T16:20:42Z
52,1994,99904,30576,580,male,20879,2024-10-24T16:20:42Z
52,1994,99904,30576,580,female,67859,2024-10-24T16:20:42Z
52,1994,99904,30576,590,male,52998,2024-10-24T16:20:42Z
52,1994,99904,30576,590,female,66644,2024-10-24T16:20:42Z
52,1994,99904,30576,600,male,26516,2024-10-24T16:20:42Z
52,1994,99904,30576,600,female,22955,2024-10-24T16:20:42Z
52,1994,99904,30576,610,male,28198,2024-10-24T16:20:42Z
52,1994,99904,30576,610,female,63258,2024-10-24T16:20:42Z
52,1994,99904,30576,620,male,29411,2024-10-24T16:20:42Z
52,1994,99904,30576,620,female,9106,2024-10-24T16:20:42Z
52,1994,99904,30576,630,male,49758,2024-10-24T16:20:42Z
52,1994,99904,30576,630,female,27426,2024-10-24T16:20:42Z
52,1994,99904,30576,640,male,15984,2024-10-24T16:20:42Z
52,1994,99904,30576,640,female,27601,2024-10-24T16:20:42Z
52,1994,99904,30576,650,male,16647,2024-10-24T16:20:42Z
52,1994,99904,30576,650,female,7578,2024-10-24T16:20:42Z
52,1994,99904,30576,660,male,8140,2024-10-24T16:20:42Z
52,1994,99904,30576,660,female,31114,2024-10-24T16:20:42Z
52,1994,99904,30576,670,male,20178,2024-10-24T16:20:42Z
52,1994,99904,30576,670,female,17306,2024-10-24T16:20:42Z
52,1994,99904,30576,680,male,10255,2024-10-24T16:20:42Z
52,1994,99904,30576,680,female,7492,2024-10-24T16:20:42Z
52,1994,99904,30576,690,male,2110,2024-10-24T16:20:42Z
52,1994,99904,30576,690,female,13183,2024-10-24T16:20:42Z
52,1994,99904,30576,700,female,18524,2024-10-24T16:20:42Z
52,1994,99904,30576,710,male,3449,2024-10-24T16:20:42Z
52,1994,99904,30576,720,female,15537,2024-10-24T16:20:42Z
52,1994,99904,30576,730,male,3850,2024-10-24T16:20:42Z
52,1994,99904,30576,730,female,10493,2024-10-24T16:20:42Z
52,1994,99904,30576,740,male,14423,2024-10-24T16:20:42Z
52,1994,99904,30576,740,female,5717,2024-10-24T16:20:42Z
52,1994,99904,30576,750,male,6806,2024-10-24T16:20:42Z
52,1994,99904,30576,750,female,10493,2024-10-24T16:20:42Z
52,1994,99904,30576,760,male,14423,2024-10-24T16:20:42Z
52,1994,99904,30576,770,male,14423,2024-10-24T16:20:42Z
52,1994,99904,30576,770,female,4699,2024-10-24T16:20:42Z
52,1994,99904,30576,790,female,13748,2024-10-24T16:20:42Z
52,1994,99904,30576,800,male,8031,2024-10-24T16:20:42Z
52,1994,99904,30576,810,male,8743,2024-10-24T16:20:42Z
52,1994,99904,30576,830,male,17486,2024-10-24T16:20:42Z
52,1994,99904,30576,840,female,8743,2024-10-24T16:20:42Z
52,1994,99904,30576,860,female,17486,2024-10-24T16:20:42Z
52,1994,99904,30576,930,male,8743,2024-10-24T16:20:42Z
52,1994,99904,30576,940,female,17486,2024-10-24T16:20:42Z
52,1994,99904,30576,950,male,8743,2024-10-24T16:20:42Z
52,1994,99904,30576,960,female,8743,2024-10-24T16:20:42Z
52,1994,99904,30576,970,female,8743,2024-10-24T16:20:42Z
52,1997,99904,30576,140,male,3452,2024-10-24T16:20:42Z
52,1997,99904,30576,200,female,13357,2024-10-24T16:20:42Z
52,1997,99904,30576,210,male,13106,2024-10-24T16:20:42Z
52,1997,99904,30576,230,male,24351,2024-10-24T16:20:42Z
52,1997,99904,30576,230,female,7136,2024-10-24T16:20:42Z
52,1997,99904,30576,280,male,15270,2024-10-24T16:20:42Z
52,1997,99904,30576,280,female,15270,2024-10-24T16:20:42Z
52,1997,99904,30576,290,male,33865,2024-10-24T16:20:42Z
52,1997,99904,30576,290,female,49239,2024-10-24T16:20:42Z
52,1997,99904,30576,300,male,46690,2024-10-24T16:20:42Z
52,1997,99904,30576,320,male,29835,2024-10-24T16:20:42Z
52,1997,99904,30576,320,female,62479,2024-10-24T16:20:42Z
52,1997,99904,30576,330,male,57426,2024-10-24T16:20:42Z
52,1997,99904,30576,330,female,14917,2024-10-24T16:20:42Z
52,1997,99904,30576,340,male,49386,2024-10-24T16:20:42Z
52,1997,99904,30576,340,female,89474,2024-10-24T16:20:42Z
52,1997,99904,30576,350,male,54065,2024-10-24T16:20:42Z
52,1997,99904,30576,350,female,65463,2024-10-24T16:20:42Z
52,1997,99904,30576,360,male,110830,2024-10-24T16:20:42Z
52,1997,99904,30576,360,female,197697,2024-10-24T16:20:42Z
52,1997,99904,30576,370,male,220603,2024-10-24T16:20:42Z
52,1997,99904,30576,370,female,131341,2024-10-24T16:20:42Z
52,1997,99904,30576,380,male,213779,2024-10-24T16:20:42Z
52,1997,99904,30576,380,female,176228,2024-10-24T16:20:42Z
52,1997,99904,30576,390,male,286301,2024-10-24T16:20:42Z
52,1997,99904,30576,390,female,319947,2024-10-24T16:20:42Z
52,1997,99904,30576,400,male,309666,2024-10-24T16:20:42Z
